1dayMSE,7dayMSE,30dayMSE
0.0498,0.0431,0.0287
0.0270,0.0280,0.0158
0.0180,0.0238,0.0148
0.0171,0.0184,0.0140
0.0162,0.0156,0.0132
0.0162,0.0151,0.0128
0.0158,0.0148,0.0123
0.0153,0.0146,0.0114
0.0149,0.0135,0.0105
0.0139,0.0133,0.0097
0.0129,0.0131,0.0090
0.0120,0.0126,0.0082
0.0119,0.0124,0.0077
,,0.0070
,,0.0062
